Scenario,Method,Community,TimeSlot,Data_Pload,Data_Hload,Data_H2load,Data_Ppv,Data_Pwind,Data_PcompFixed,Pgrid,Pch,Pdis,SOC_e,PpvUse,PpvCurt,PwindUse,PwindCurt,Pchp,Hchp,Fgas,Peb,Heb,Pelec,H2prod,H2cons_fc,Pfc,Pcomp,Hch,Hdis,SOC_th,H2ch,H2dis,SOC_h2,H2short,Hdump,Qpv,Qes,QinjLocal,PinjLocal,V,CarbonEmission_kg,CarbonQuota_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeWithCommunities_kg,CarbonUnusedAllowance_kg,Data_Emax,Data_SOC0_e,Data_EthMax,Data_SOC0_th,Data_EH2Max,Data_SOC0_h2
S4_HighRE_WithStorage_Carbon,centralized,1,1,0.22,0.625,1.4,0,0,0,0,0,0.838556701030928,2.86730873575692,0,0,0,0,0,0,0,0.618556701030928,0.6,0,0,0,0,0,0,0.0249999999999999,4.97368421052632,0,1.4,18.6,0,0,0,0,0,0,0,0,436.885275825895,0,0,10804.7500638638,-5.34328137291595e-11,7.5,3.75,10,5,40,20
S4_HighRE_WithStorage_Carbon,centralized,1,2,0.2,0.61,1.4,0,0,0,0,0,0.818556701030928,2.00567010309278,0,0,0,0,0,0,0,0.618556701030928,0.6,0,0,0,0,0,0,0.00999999999999996,4.96315789473684,0,1.4,17.2,0,0,0,0,0,0,0,0,495.683844025685,0,0,0,0,7.5,3.75,10,5,40,20
S4_HighRE_WithStorage_Carbon,centralized,1,3,0.28,0.6,2.8,0,0,0,1.26515670103093,0,0,2.00567010309278,0,0,0,0,0,0,0,0.618556701030928,0.6,0.3525,7.05,0,0,0.0141,0,0,4.96315789473684,4.25,0,21.45,0,0,0.16476868069973,0.16476868069973,0,0,0,1366.3692371134,599.41708938651,0,0,0,0,7.5,3.75,10,5,40,20
S4_HighRE_WithStorage_Carbon,centralized,1,4,0.27,0.59,2.8,0,0,0,1.98340840804951,0.57485170701858,0,2.55177922476043,0,0,0,0,0,0,0,0.618556701030928,0.6,0.5,10,0,0,0.02,0.01,0,4.97265789473684,7.2,0,28.65,0,0,0.587117639533078,0.587117639533078,0,0,0,2142.08108069347,584.631934747334,0,0,0,0,7.5,3.75,10,5,40,20
S4_HighRE_WithStorage_Carbon,centralized,1,5,0.29,0.61,3.15,0,0,0,1.89896582737892,0.460099847997472,0,2.98887408035803,0,0,0,0,0,0,0,0.628865979381443,0.61,0.5,10,0,0,0.02,0,0,4.97265789473684,6.85,0,35.5,0,0,0.587117639533078,0.587117639533078,0,0,0,2050.88309356923,627.451844025685,0,0,0,0,7.5,3.75,10,5,40,20
S4_HighRE_WithStorage_Carbon,centralized,1,6,0.38,0.69,3.5,0,0,0,0,0,0.554131673445817,2.40557758199401,0,0,0,0,0,0,0,0.174131673445817,0.168907723242442,0,0,0,0,0,0,0.521092276757558,4.42413970867626,0,3.5,32,0,0,0,0,0,0,0,0,731.252693099316,0,0,0,0,7.5,3.75,10,5,40,20
S4_HighRE_WithStorage_Carbon,centralized,1,7,0.4,0.78,4.2,0,0,0,0,0,0.574131673445817,1.80122845205105,0,0,0,0,0,0,0,0.174131673445817,0.168907723242442,0,0,0,0,0,0,0.611092276757558,3.78088468051041,0,4.2,27.8,0,0,0,0,0,0,0,0,666.245292266667,0,0,0,0,7.5,3.75,10,5,40,20
S4_HighRE_WithStorage_Carbon,centralized,1,8,0.42,0.86,4.9,0,0,0,0,0,0.594131673445817,1.17582669052914,0,0,0,0,0,0,0,0.174131673445817,0.168907723242442,0,0,0,0,0,0,0.691092276757558,3.05341912602877,0,4.9,22.9,0,0,0,0,0,0,0,0,729.463476088889,0,0,0,0,7.5,3.75,10,5,40,20
S4_HighRE_WithStorage_Carbon,centralized,1,9,0.5,0.83,5.6,0.325228625743537,0,0,0,0,0.34890304770228,0.808560324526737,0.325228625743537,0,0,0,0,0,0,0.174131673445817,0.168907723242442,0,0,0,0,0,0,0.661092276757558,2.35753251891555,0,5.6,17.3,0,0,0,0,0,0,0,0,629.926286285612,0,0,0,0,7.5,3.75,10,5,40,20
S4_HighRE_WithStorage_Carbon,centralized,1,10,0.54,0.75,6.3,0.658499365145417,0,0,0,0,0.0556323083004,0.75,0.658499365145417,0,0,0,0,0,0,0.174131673445817,0.168907723242442,0,0,0,0,0,0,0.581092276757558,1.74585643811812,0,6.3,11,0,0,0,0,0,0,0,0,485.849826994643,0,0,0,0,7.5,3.75,10,5,40,20
S4_HighRE_WithStorage_Carbon,centralized,1,11,0.6,0.68,7,1.04597492533715,0,0,0,0,0,0.75,1.04597492533715,0,0,0,0,0,0,0.445974925337145,0.432595677577031,0,0,0,0,0,0,0.247404322422969,1.48543083556762,0,7,4,0,0,0.00759711895235354,0.00759711895235354,0,0,0,0,332.930659445311,0,0,0,0,7.5,3.75,10,5,40,20
S4_HighRE_WithStorage_Carbon,centralized,1,12,0.58,0.64,7,1.74480537356999,0,0,0,0,0,0.75,1.74480537356999,0,0,0,0,0,0,0.65979381443299,0.64,0.48558803763173,9.71176075263459,0,0,0.0194235215052692,0,0,1.48543083556762,2.71176075263459,0,6.71176075263459,0,0,0.0120600719474894,0.0120600719474894,0,0,0,0,12.8179769445327,0,0,0,0,7.5,3.75,10,5,40,20
